1,Poprad 1,007,Prešovský kraj,Poprad,Poprad,Poprad,05801,1. mája,30,4500,20.3019546,49.0559072,BD,12
2,Poprad 1,007,Prešovský kraj,Poprad,Poprad,Poprad,05801,1. mája,32,4501,20.3020997340216,49.0559628058466,BD,16
3,Poprad 1,007,Prešovský kraj,Poprad,Poprad,Poprad,05801,1. mája,14,230,20.2999025928939,49.0572943734629,BD,13
4,Poprad 1,007,Prešovský kraj,Poprad,Poprad,Poprad,05801,1. mája,13,217,20.3006542,49.0574857,BD,10
5,Poprad 1,007,Prešovský kraj,Poprad,Poprad,Poprad,05801,1. mája,19A,218,20.3002782937655,49.057552110615,BD,12
6,Poprad 1,007,Prešovský kraj,Poprad,Poprad,Poprad,05801,1. mája,16,229,20.2997844,49.0575996,BD,2
7,Poprad 1,007,Prešovský kraj,Poprad,Poprad,Poprad,05801,1. mája,19,220,20.3001919363904,49.0576250187173,BD,5
8,Poprad 1,007,Prešovský kraj,Poprad,Poprad,Poprad,05801,1. mája,18,229,20.2996217,49.0577148,BD,6
9,Poprad 1,007,Prešovský kraj,Poprad,Poprad,Poprad,05801,1. mája,19B,4414,20.2998718012217,49.0579176370397,BD,13
10,Poprad 1,007,Prešovský kraj,Poprad,Poprad,Poprad,05801,1. mája,21,221,20.2998688,49.0580319,BD,8
11,Poprad 1,007,Prešovský kraj,Poprad,Poprad,Poprad,05801,1. mája,24,4053,20.2993057427211,49.0581220297443,BD,17
12,Poprad 1,007,Prešovský kraj,Poprad,Poprad,Poprad,05801,1. mája,23,222,20.2996500982444,49.0582045549429,BD,11
13,Poprad 1,007,Prešovský kraj,Poprad,Poprad,Poprad,05801,1. mája,25,223,20.2996927,49.058416,BD,3
14,Poprad 1,007,Prešovský kraj,Poprad,Poprad,Poprad,05801,1. mája,27,224,20.2995697,49.0585327,BD,12
15,Poprad 1,007,Prešovský kraj,Poprad,Poprad,Poprad,05801,1. mája,26,3817,20.2992309,49.0587507,BD,6
16,Poprad 1,007,Prešovský kraj,Poprad,Poprad,Poprad,05801,1. mája,29,225,20.2996364,49.0587594,BD,3
17,Poprad 1,007,Prešovský kraj,Poprad,Poprad,Poprad,05801,1. mája,31,226,20.2995319,49.0589478,BD,14
18,Poprad 1,007,Prešovský kraj,Poprad,Poprad,Poprad,05801,1. mája,28,227,20.299087230317,49.0589854578683,BD,14
19,Poprad 1,007,Prešovský kraj,Poprad,Poprad,Poprad,05801,1. mája,28A,459,20.2991639,49.0590655,BD,16
20,Poprad 1,019,Prešovský kraj,Poprad,Poprad,Poprad,05801,1. mája,2,236,20.3012465755953,49.0553791485546,BD,10
21,Poprad 1,019,Prešovský kraj,Poprad,Poprad,Poprad,05801,1. mája,2A,4953,20.3012465755953,49.0553791485546,BD,2
22,Poprad 1,019,Prešovský kraj,Poprad,Poprad,Poprad,05801,1. mája,4,235,20.301208,49.0554849,BD,8
23,Poprad 1,019,Prešovský kraj,Poprad,Poprad,Poprad,05801,1. mája,1,213,20.3014078434837,49.0555212806057,BD,13
24,Poprad 1,019,Prešovský kraj,Poprad,Poprad,Poprad,05801,1. mája,3,214,20.3013588879561,49.0556218636181,BD,12
25,Poprad 1,019,Prešovský kraj,Poprad,Poprad,Poprad,05801,1. mája,6,234,20.3011414,49.0556611,BD,4
26,Poprad 1,019,Prešovský kraj,Poprad,Poprad,Poprad,05801,1. mája,5,215,20.3012973565813,49.0557815443328,BD,16
27,Poprad 1,019,Prešovský kraj,Poprad,Poprad,Poprad,05801,1. mája,8,233,20.3010347,49.0559191,BD,5
28,Poprad 1,019,Prešovský kraj,Poprad,Poprad,Poprad,05801,1. mája,7,216,20.3012417,49.0560368,BD,17
29,Poprad 1,019,Prešovský kraj,Poprad,Poprad,Poprad,05801,1. mája,10,232,20.3009615,49.0560879,BD,8
30,Poprad 1,019,Prešovský kraj,Poprad,Poprad,Poprad,05801,1. mája,9,216,20.3011732,49.0561938,BD,14
31,Poprad 1,019,Prešovský kraj,Poprad,Poprad,Poprad,05801,1. mája,12,231,20.3008519,49.0562979,BD,1
32,Poprad 1,017,Prešovský kraj,Poprad,Poprad,Poprad,05801,29. augusta,39,166,20.2828797,49.0558851,BD,1
33,Poprad 1,017,Prešovský kraj,Poprad,Poprad,Poprad,05801,29. augusta,37,166,20.2831329,49.055895,BD,18
34,Poprad 1,017,Prešovský kraj,Poprad,Poprad,Poprad,05801,29. augusta,43,167,20.2821737,49.0559271,BD,6
35,Poprad 1,017,Prešovský kraj,Poprad,Poprad,Poprad,05801,29. augusta,41,167,20.2824157,49.0559435,BD,2
36,Poprad 1,017,Prešovský kraj,Poprad,Poprad,Poprad,05801,29. augusta,44,171,20.2801719165205,49.0559763976531,BD,10
37,Poprad 1,017,Prešovský kraj,Poprad,Poprad,Poprad,05801,29. augusta,47,168,20.28108,49.056158,BD,18
38,Poprad 1,017,Prešovský kraj,Poprad,Poprad,Poprad,05801,29. augusta,45,168,20.2810474,49.0563237,BD,4
39,Poprad 1,017,Prešovský kraj,Poprad,Poprad,Poprad,05801,29. augusta,49,169,20.2803045,49.0563828,BD,18
40,Poprad 1,017,Prešovský kraj,Poprad,Poprad,Poprad,05801,29. augusta,51,169,20.2805496,49.056404,BD,5
